time_index	season	holiday	workingday	weather	temp	atemp	humidity	windspeed	casual	registered	count
1	Sp	0	0	1	10.1	13.1	70	0	0	1	1
2	Sp	0	0	1	10	10.9	49	0	3	10	13
3	Sp	0	0	2	10.2	12.1	50	6.0032	0	4	4
4	Sp	0	0	1	12	13.4	83	0	33	90	123
6	Sp	0	0	3	18	20.5	85	16.9979	1	5	6
8	Sp	0	0	2	19.2	20.9	64	16.9979	1	11	12
9	Sp	0	0	2	19.3	23.3	78	12.998	0	2	2
10	Sp	0	0	2	15.7	19.5	69	19.9995	25	150	175
11	Sp	0	0	3	14.1	17.2	46	11.0014	3	12	15
12	Sp	0	0	1	15.4	20.3	58	12.998	7	33	40
13	Sp	0	0	1	12.3	15.8	53	30.0026	10	23	33
14	Sp	0	0	1	11.5	16.1	86	23.9994	13	29	42
15	Sp	0	0	1	11.6	14.2	71	22.0028	10	15	25
16	Sp	0	1	1	8.2	9.1	65	23.9994	0	2	2
17	Sp	0	1	1	7.5	11.2	90	26.0027	0	6	6
18	Sp	0	1	1	6.1	8.9	87	26.0027	5	15	20
19	Sp	0	1	1	4.9	7.6	65	19.0012	68	108	176
20	Sp	0	1	1	8.7	11.9	65	19.9995	5	9	14
21	Sp	0	1	1	10.9	14	86	19.0012	4	9	13
22	Sp	0	1	1	9.1	12.1	61	16.9979	42	78	120
23	Sp	0	1	1	9.8	12.7	87	15.0013	5	15	20
25	Sp	0	1	1	5.6	9.2	45	8.9981	19	50	69
26	Sp	0	1	1	5.9	8.4	54	7.0015	7	14	21
27	Sp	0	1	1	4.9	9.4	41	11.0014	246	1018	1264
28	Sp	0	1	1	12.7	16.5	53	16.9979	4	22	26
29	Sp	0	1	1	11.5	15.5	82	12.998	57	975	1032
30	Sp	0	1	1	9.2	11.4	76	7.0015	125	452	577
31	Sp	0	1	1	8.8	11.1	56	0	2	26	28
32	Sp	0	1	1	10.1	14.1	75	11.0014	1	10	11
33	Sp	0	1	1	7.5	11.4	87	12.998	1	2	3
34	Sp	0	1	1	9.1	10.9	83	22.0028	3	46	49
35	Sp	0	1	1	9.5	12.7	44	22.0028	1	6	7
36	Sp	0	1	1	9.1	12.6	40	22.0028	15	32	47
37	Sp	0	1	1	9.9	13.8	38	19.9995	13	30	43
38	Sp	0	1	1	8.7	12	48	8.9981	0	134	134
40	Sp	0	1	1	7	8.3	37	8.9981	3	16	19
41	Sp	0	1	2	4.6	8.4	62	6.0032	18	46	64
42	Sp	0	1	2	5.8	9.2	66	0	91	693	784
43	Sp	0	1	1	8.8	11.1	84	0	19	277	296
44	Sp	0	1	1	11.4	13.6	38	6.0032	13	58	71
45	Sp	0	1	1	10.7	13.3	72	0	40	113	153
46	Sp	0	1	1	9.7	11.8	65	7.0015	1	3	4
47	Sp	0	1	2	8.8	12.3	51	15.0013	289	463	752
48	Sp	0	1	2	7.8	10.3	69	12.998	1	2	3
49	Sp	0	1	3	9.3	13.3	80	0	4	8	12
50	Sp	0	1	2	9.3	11.6	66	0	129	250	379
51	Sp	0	1	1	8.6	10.2	57	22.0028	8	22	30
52	Sp	0	1	2	10.4	14.1	57	11.0014	3	29	32
53	Sp	0	1	2	6.6	10.6	95	0	17	58	75
54	Sp	0	1	1	5.4	9.9	56	6.0032	16	29	45
55	Sp	0	1	1	6.6	11.3	43	7.0015	1	8	9
56	Sp	0	0	2	7.5	10	81	11.0014	14	25	39
57	Sp	0	0	1	4.5	7.4	65	19.9995	16	54	70
58	Sp	0	0	1	6.1	7	33	16.9979	36	352	388
59	Sp	0	0	1	5.5	7.6	67	16.9979	6	24	30
60	Sp	0	0	1	6.1	9.3	48	23.9994	1	19	20
61	Sp	0	0	1	5.3	8.7	70	26.0027	1	11	12
62	Sp	0	0	1	4.6	7.3	81	30.0026	23	117	140
63	Sp	0	0	1	6.3	8.5	71	35.0008	6	38	44
64	Sp	0	0	1	6.7	8.8	43	30.0026	91	460	551
65	Sp	0	0	1	7.4	11.3	56	30.0026	0	3	3
66	Sp	0	0	1	7	10.2	46	22.0028	26	77	103
67	Sp	0	1	1	3.7	6.5	85	15.0013	2	3	5
68	Sp	0	1	2	6.3	8.3	83	16.9979	28	153	181
69	Sp	0	1	2	8.2	11	72	19.0012	4	791	795
70	Sp	0	1	2	6.8	8.3	50	15.0013	5	9	14
71	Sp	0	1	1	8.7	12.2	64	8.9981	10	24	34
72	Sp	0	1	1	6.8	9.9	74	11.0014	3	70	73
73	Sp	0	1	1	7.4	10.6	54	7.0015	3	7	10
74	Sp	0	1	2	5.3	7.9	97	8.9981	0	1	1
75	Sp	0	1	2	7.6	12.1	60	15.0013	230	650	880
76	Sp	0	1	1	4.6	5.9	70	8.9981	0	1	1
77	Sp	0	1	1	7.7	9.1	89	11.0014	3	13	16
78	Sp	0	1	1	7.4	9	50	11.0014	19	60	79
79	Sp	0	1	1	8.3	11.2	96	23.9994	3	19	22
80	Sp	0	1	1	8.9	12.5	64	27.9993	1	9	10
